place_id,name,cuisine,price_range,rating,address,zone,description,price_level,latitude,longitude,min_price,max_price,currency,last_updated
BOG_CH_LEO_01,Leo,Colombian / Fine Dining,$$$$,4.9,"Cl. 65 Bis #4-23, Bogotá, Colombia",Chapinero Alto,"Restaurante insignia de la chef Leonor Espinosa que muestra la biodiversidad a través de un menú de degustación.",4,4.648611,-74.062222,250000,450000,COP,2025-01-15
BOG_CH_ELCHATO_02,El Chato,Contemporary Colombian,$$$,4.8,"Cl. 65 #4-76, Bogotá, Colombia",Chapinero Alto,"Cena estilo bistró por Álvaro Clavijo, enfocada en ingredientes locales y técnicas modernas.",3,4.648889,-74.061944,120000,220000,COP,2025-01-15
BOG_ZG_HARRY_03,Harry Sasson,International / Grill,$$$$,4.7,"Cra. 9 #75-70, Bogotá, Colombia",Zona G,"Lugar icónico en una mansión estilo Tudor que sirve un vasto menú de carnes a la parrilla y clásicos internacionales.",4,4.656111,-74.056389,180000,350000,COP,2025-01-15
BOG_ZG_ELCIELO_04,El Cielo,Modern / Experimental,$$$$,4.6,"Cl. 70 #4-47, Bogotá, Colombia",Zona G,"Neuro-cocina que ofrece menús de degustación sensoriales inspirados en paisajes colombianos.",4,4.655833,-74.057222,220000,380000,COP,2025-01-15
BOG_ZG_CRITERION_05,Criterion,French / Modern,$$$$,4.6,"Cl. 69a #5-75, Bogotá, Colombia",Zona G,"Alta cocina clásica por los hermanos Rausch, conocida por su precisión técnica.",4,4.656389,-74.056944,200000,350000,COP,2025-01-15
BOG_LC_PUERTAFALSA_06,La Puerta Falsa,Traditional Colombian,$,4.7,"Cl. 11 #6-50, Bogotá, Colombia",La Candelaria,"El restaurante más antiguo de Bogotá (est. 1816), famoso por Tamales y Chocolate Santafereño.",1,4.597778,-74.071667,15000,25000,COP,2025-01-15
BOG_GA_DONAELVIRA_07,Restaurante Doña Elvira,Cocina Criolla,$$,4.6,"Cl. 50 #20-26, Bogotá, Colombia",Galerías,"Lugar legendario de almuerzos para platos criollos tradicionales como Sobrebarriga.",2,4.643056,-74.077222,30000,45000,COP,2025-01-15
BOG_LC_SONGRILLOS_08,Son de los Grillos,Traditional Colombian,$$,4.5,"Cl. 10 #3-60, Bogotá, Colombia",La Candelaria,"Cena romántica en una casa colonial con cocina bogotana clásica.",2,4.598333,-74.071389,35000,55000,COP,2025-01-15
BOG_CH_CAZUELAS_09,Las Cazuelas de la Abuela,Traditional Colombian,$$,4.4,"Cl. 59 #9-16, Bogotá, Colombia",Chapinero,"Especializado en cazuelas tradicionales y sopas abundantes.",2,4.642500,-74.064722,28000,42000,COP,2025-01-15
BOG_XX_SANTAFE_10,Restaurante Santa Fe,Traditional Colombian,$$,4.5,"Not Specified",La Candelaria,"Reconocido por servir uno de los mejores Ajiacos de la capital.",2,4.598056,-74.071944,32000,48000,COP,2025-01-15
BOG_CH_SALVOPATRIA_11,Salvo Patria,Sustainable / Bistro,$$$,4.7,"Cl. 54a #4-13, Bogotá, Colombia",Chapinero Alto,"Casual fine dining con enfoque en abastecimiento sostenible y charcutería casera.",3,4.647778,-74.062500,85000,160000,COP,2025-01-15
BOG_CH_MESAFRANCA_12,Mesa Franca,Contemporary / Fusion,$$$,4.6,"Cra. 6 #55-09, Bogotá, Colombia",Chapinero Alto,"Lugar de moda conocido por cócteles creativos y platos con ingredientes nativos.",3,4.648333,-74.063056,90000,170000,COP,2025-01-15
BOG_LC_PRUDENCIA_13,Prudencia,International / Smoked,$$$,4.8,"Cra. 2 #11-34, Bogotá, Colombia",La Candelaria,"Lugar solo para almuerzos en una casa restaurada, con cocina de leña y menús rotativos.",3,4.597500,-74.072222,95000,180000,COP,2025-01-15
BOG_CH_NUEVE_14,Nueve,Mediterranean,$$$,4.5,"Cl. 70a #10A-18, Bogotá, Colombia",Quinta Camacho,"Platos para compartir con influencia mediterránea en un ambiente acogedor.",3,4.653056,-74.057500,80000,150000,COP,2025-01-15
BOG_CH_ODA_15,Oda,South American / Refined,$$$,4.6,"Cl. 140 #11-45, Bogotá, Colombia",Cedritos (Approx),"Cocina sudamericana refinada enfocada en bayas y sabores delicados.",3,4.750000,-74.050000,110000,190000,COP,2025-01-15
BOG_CH_SELMA_16,Selma,Mediterranean / Grill,$$$,4.6,"Cl. 69 #10A-18, Bogotá, Colombia",Chapinero,"Sabores mediterráneos audaces y brillantes con enfoque en cocina a fuego abierto.",3,4.642778,-74.064167,95000,175000,COP,2025-01-15
BOG_CH_HUMONEGRO_17,Humo Negro,Fusion / Izakaya,$$$,4.7,"Cra. 5 #56-06, Bogotá, Colombia",Chapinero Alto,"Fusión japonés-nórdico-colombiana servida en estilo tapas/izakaya.",3,4.648056,-74.062778,70000,130000,COP,2025-01-15
BOG_CH_CHICHERIA_18,Chichería Demente,Colombian / Grill,$$,4.5,"Cl. 69 #15-08, Bogotá, Colombia",Concepción Norte,"Lugar animado enfocado en carnes asadas y bebidas fermentadas.",2,4.650000,-74.070000,40000,65000,COP,2025-01-15
BOG_ZT_STORIA_19,Storia D'Amore,Italian,$$$,4.5,"Cra. 13 #82-36, Bogotá, Colombia",Zona T,"Cena italiana teatral conocida por su decoración y experiencia.",3,4.669167,-74.054444,100000,180000,COP,2025-01-15
BOG_ZG_EMILIA_20,Emilia Grace,Italian,$$$,4.6,"Cl. 65 #4a-51, Bogotá, Colombia",Zona G,"Comida italiana clásica servida en un entorno arquitectónico impresionante de arcos de ladrillo.",3,4.656667,-74.056111,95000,170000,COP,2025-01-15
BOG_CH_SORELLA_21,Sorella,Italian / Pizza,$$,4.7,"Cl. 66 Bis #4-71, Bogotá, Colombia",Chapinero Alto,"Reconocido por su masa de pizza y platos de pasta modernos.",2,4.648333,-74.062222,45000,75000,COP,2025-01-15
BOG_CH_PAJARES_22,Pajares Salinas,Spanish,$$$$,4.6,"Cra. 10 #96-08, Bogotá, Colombia",Chicó,"Cocina española atemporal y sofisticada, un clásico para cenas de negocios.",4,4.677222,-74.052500,160000,280000,COP,2025-01-15
BOG_ZT_ROMEO_23,Romeo Osteria,Italian,$$$,4.6,"Ac. 85 #12-90, Bogotá, Colombia",Zona T,"Tributo contemporáneo a la gastronomía italiana con pizzas al horno de leña.",3,4.668889,-74.054167,85000,155000,COP,2025-01-15
BOG_ZG_JULIA_24,Julia Pizzería,Italian / Pizza,$$,4.5,"Cra. 5 #69A-19, Bogotá, Colombia",Zona G,"Pizzería pequeña de alta calidad que sirve pizzas estilo napolitano al horno de leña.",2,4.656389,-74.056667,38000,62000,COP,2025-01-15
BOG_PK_LADIVA_25,La Diva,Italian / Pizza,$$,4.4,"Cl. 93 #13A-44, Bogotá, Colombia",Parque 93,"Pizzería elegante con atmósfera vibrante en el área del Parque 93.",2,4.677500,-74.052222,42000,68000,COP,2025-01-15
BOG_ZT_OSAKA_26,Osaka,Nikkei,$$$$,4.8,"Cra. 13 #85-25, Bogotá, Colombia",Zona T,"Cocina Nikkei (peruano-japonesa) de clase mundial en un entorno lujoso.",4,4.669444,-74.054722,190000,320000,COP,2025-01-15
BOG_US_WOK_27,Wok,Asian,$$,4.6,"Cra. 6A #117-02, Bogotá, Colombia",Usaquén,"Cadena asiática sostenible que ofrece sushi, curris y salteados de alta calidad.",2,4.693056,-74.033333,35000,58000,COP,2025-01-15
BOG_SA_USHIN_28,Ushin Japanese & Grill,Japanese / Grill,$$$$,4.6,"Cl. 24a #57-60, Bogotá, Colombia",Salitre (Grand Hyatt),"Cena japonesa de lujo con vistas panorámicas de la ciudad.",4,4.657222,-74.100278,170000,300000,COP,2025-01-15
BOG_NC_CASAKOREA_29,Casa de Corea,Korean,$$,4.6,"Cra. 14b #106-18, Bogotá, Colombia",North Bogota,"Auténtica barbacoa coreana y platos tradicionales.",2,4.750278,-74.050278,48000,78000,COP,2025-01-15
BOG_CH_SHIRAI_30,Shirai Ramen,Japanese / Ramen,$$,4.5,"Cl. 97 #11-78, Bogotá, Colombia",Chicó,"Tienda dedicada al ramen conocida por sus caldos ricos.",2,4.677500,-74.052500,32000,52000,COP,2025-01-15
BOG_CH_BANGKOK_31,Bangkok Thai Cuisine,Thai,$$,4.4,"Cl. 71 #10-53, Bogotá, Colombia",Quinta Camacho,"Comida tailandesa auténtica en un ambiente acogedor.",2,4.653333,-74.057778,38000,60000,COP,2025-01-15
BOG_ZT_OMNIA_32,Omnia,Asian Fusion,$$$,4.3,"Cl. 81 #13-05, Bogotá, Colombia",Zona T,"Fusión de sabores chinos y japoneses en el centro comercial Atlantis.",3,4.668611,-74.054444,75000,140000,COP,2025-01-15
BOG_CH_ANDRES_33,Andrés Carne de Res,Colombian / Steakhouse,$$$,4.6,"Cl. 82 #12-21, Bogotá, Colombia",Zona T,"La experiencia de cena-fiesta más famosa de la ciudad.",3,4.669722,-74.053889,80000,150000,COP,2025-01-15
BOG_PK_LAKASTA_34,La Kasta,Steakhouse,$$$,4.5,"Cl. 40 #21-34, Bogotá, Colombia",Parkway,"Restaurante de parrilla y vino elogiado por carnes de alta calidad.",3,4.640278,-74.080278,90000,160000,COP,2025-01-15
BOG_CH_OAK_35,Oak Ahumados & Brebajes,BBQ,$$,4.6,"Cl. 69a #10-15, Bogotá, Colombia",Quinta Camacho,"Auténtico BBQ estilo americano con costillas ahumadas y brisket.",2,4.653056,-74.057778,45000,75000,COP,2025-01-15
BOG_ZG_HOME_36,Home Burgers,Burgers,$,4.7,"Cra. 5 #70A-74, Bogotá, Colombia",Zona G,"Líder del mercado de hamburguesas fast-casual con ingredientes de alta calidad.",1,4.656111,-74.056944,18000,28000,COP,2025-01-15
BOG_CH_BMUSIC_37,Burger Music,Burgers,$,4.5,"Cl. 69a #5-59, Bogotá, Colombia",Chapinero,"Hamburguesas creativas con toppings únicos y abundantes.",1,4.642778,-74.064444,20000,32000,COP,2025-01-15
BOG_CH_69GAUCHOS_38,Restaurante 69 Gauchos,Steakhouse,$$,4.4,"Cl. 69a #10-16, Bogotá, Colombia",Quinta Camacho,"Asador clásico que ofrece cortes argentinos.",2,4.653056,-74.057778,50000,85000,COP,2025-01-15
BOG_ZG_MASA_39,Masa,Bakery / Brunch,$$,4.8,"Cl. 70 #4-83, Bogotá, Colombia",Zona G,"Panadería popular y lugar de brunch con diseño icónico y sándwiches.",2,4.655833,-74.057222,25000,45000,COP,2025-01-15
BOG_QC_ABASTO_40,Abasto,Market / Colombian,$$,4.7,"Cl. 69a #9-09, Bogotá, Colombia",Quinta Camacho,"Restaurante farm-to-table con vibra de mercado, excelente para desayunos.",2,4.653056,-74.057778,22000,40000,COP,2025-01-15
BOG_CH_ALAGUAPATOS_41,Al Agua Patos,Brunch / Toast,$$,4.6,"Cl. 72A #5-22, Bogotá, Colombia",Chapinero,"Especializado en tostadas creativas (patos) en un ambiente amigable para niños.",2,4.642500,-74.064722,28000,48000,COP,2025-01-15
BOG_CH_ARBOLPAN_42,Árbol del Pan,Bakery,$,4.7,"Cl. 66 Bis #4-63, Bogotá, Colombia",Chapinero Alto,"Panadería artesanal de primer nivel.",1,4.648333,-74.062500,12000,22000,COP,2025-01-15
BOG_CH_MESASALVAJE_43,Mesa Salvaje,Brunch / Healthy,$$,4.6,"Dg. 55 #4-14, Bogotá, Colombia",Chapinero Alto,"Lugar de brunch conocido por opciones saludables y masa madre.",2,4.647778,-74.062500,30000,52000,COP,2025-01-15
BOG_PK_AZAHAR_44,Azahar Coffee,Cafe,$,4.8,"Cl. 93B #13-91, Bogotá, Colombia",Parque 93,"Tienda de café de origen premium con un menú de comida sólido.",1,4.677500,-74.052222,15000,25000,COP,2025-01-15
BOG_CH_MINIMAL_45,Mini-Mal,Colombian / Amazonian,$$$,4.6,"Tv. 4 Bis #56A-52, Bogotá, Colombia",Chapinero Alto,"Pionero en servir platos enfocados en la biodiversidad del Amazonas y el Pacífico.",3,4.648056,-74.062778,95000,180000,COP,2025-01-15
BOG_CH_INSURGENTES_46,Insurgentes Taco Bar,Mexican,$$,4.6,"Cl. 56 #5-21, Bogotá, Colombia",Chapinero Alto,"Bar de tacos cool con sabores auténticos y gran mezcal.",2,4.647500,-74.062778,35000,58000,COP,2025-01-15
BOG_CH_PASTOR7_47,El Pastor del Siete,Mexican,$,4.5,"Cl. 66 Bis #4-71 (Approx), Bogotá, Colombia",Chapinero,"Aclamado por los mejores tacos Al Pastor de la ciudad.",1,4.642778,-74.064444,18000,28000,COP,2025-01-15
BOG_CH_TIERRA_48,Tierra,Peruvian / Seafood,$$$,4.4,"Calle 66 # 4a - 31, Bogotá, Colombia",Chapinero Alto,"Restaurante enfocado en cocina peruana y mariscos.",3,4.648333,-74.062500,85000,160000,COP,2025-01-15
BOG_LC_BABOU_49,Babou,Bar / Casual,$$,4.3,"Cl. 12b #1-49, Bogotá, Colombia",La Candelaria,"Lugar casual en el centro histórico perfecto para bebidas y comida de bar.",2,4.597778,-74.071944,30000,50000,COP,2025-01-15
BOG_US_CREPES_50,Crepes & Waffles Arte-Sano,Crepes / Healthy,$$,4.7,"Cl. 109 #17a-4, Bogotá, Colombia",Usaquén (North),"Concepto experimental de la famosa cadena enfocado en técnicas orgánicas y artesanales.",2,4.693333,-74.033333,32000,52000,COP,2025-01-15